,AD
84,100095 北京市海淀区温泉镇环山村
85,100095 北京市海淀区温泉镇环山村
86,100095 北京市海淀区温泉镇环山村
87,100095 北京市海淀区温泉镇环山村
88,100095 北京市海淀区温泉镇环山村
89,100095 北京市海淀区温泉镇环山村
90,100095 北京市海淀区温泉镇环山村
91,150080 黑龙江省哈尔滨市南岗区学府路52号
92,300072 天津市南开区卫津路92号天津大学
93,261057 山东省潍坊经济开发区清源街1888号
94,261057 山东省潍坊经济开发区清源街1888号
95,100015 北京市朝阳区酒仙桥路10号
96,233600 安徽省亳州市涡阳县城关镇涡河东路115-136号
97,110163 辽宁省沈阳市东陵区泗水街66号
98,201620 上海市松江区松江新城人民北路2999号
99,213100 江苏省常州市武进区西太湖科技产业园兰香路8号
100,261057 山东省潍坊经济开发区清源街1888号
101,264200 山东省威海市高区文化西路2号
102,410004 湖南省长沙市天心区韶山南路498号
103,116024 辽宁省大连市甘井子区凌工路2号
104,116024 辽宁省大连市甘井子区凌工路2号
105,213100 江苏省常州市武进区西太湖科技产业园兰香路8号
106,213100 江苏省常州市武进区西太湖科技产业园兰香路8号
107,450001 河南省郑州市高新技术开发区西四环228号企业公园12号楼803室
108,100084 北京市海淀区100084信箱82分箱清华大学专利办公室
109,541004 广西壮族自治区桂林市建干路12号
110,150001 黑龙江省哈尔滨市南岗区西大直街92号
111,210093 江苏省南京市汉口路22号
112,100095 北京市海淀区温泉镇环山村
113,美国新泽西州
114,100095 北京市海淀区温泉镇环山村
115,210038 江苏省南京市南京经济技术开发区恒达路9号
116,210016 江苏省南京市秦淮区御道街29号
117,100044 北京市海淀区西直门外上园村3号
118,451191 河南省郑州市新郑双湖经济技术开发区淮河路1号
119,150001 黑龙江省哈尔滨市南岗区西大直街92号
120,214122 江苏省无锡市蠡湖大道1800号江南大学
121,美国密歇根
122,100044 北京市海淀区西直门外上园村3号
123,315800 浙江省宁波市北仑区新大路1069号
124,315800 浙江省宁波市北仑区新大路1069号
125,518132 广东省深圳市光明新区塘明大道9—2号
126,541004 广西壮族自治区桂林市金鸡路1号
127,230009 安徽省合肥市包河区屯溪路193号
128,518000 广东省深圳市宝安区福永街道新和社区新和同富裕工业区19号厂房1楼B
129,430072 湖北省武汉市武昌区珞珈山武汉大学
130,英国曼彻斯特
131,230009 安徽省合肥市包河区屯溪路193号
132,050051 河北省石家庄市合作路113号
133,050051 河北省石家庄市合作路113号
134,250199 山东省济南市历城区山大南路27号
135,611731 四川省成都市高新西区西源大道2006号
136,215001 江苏省苏州市高新区泰山路2号
137,610065 四川省成都市武侯区一环路南一段24号
138,215100 江苏省苏州市吴中区木渎镇珠江南路378号天隆大楼6727室苏州卓伟企业管理咨询有限公司
139,100095 北京市海淀区温泉镇环山村
140,100095 北京市海淀区温泉镇环山村
141,100095 北京市海淀区温泉镇环山村
142,100095 北京市海淀区温泉镇环山村
143,100095 北京市海淀区温泉镇环山村
144,214122 江苏省无锡市滨湖区蠡湖大道1800号
145,100095 北京市海淀区温泉镇环山村
146,230026 安徽省合肥市包河区金寨路96号
147,100190 北京市海淀区中关村北二条1号
148,315174 浙江省宁波市鄞州区高桥镇高桥东路118号
149,361027 福建省厦门市海沧区东孚镇东孚大道2881号16#厂房2层南侧
150,300387 天津市西青区宾水西道399号
151,310027 浙江省杭州市西湖区浙大路38号
152,200092 上海市杨浦区四平路1239号
153,510006 广东省广州市番禺区广州大学城华南理工大学
154,230009 安徽省合肥市屯溪路193号
155,200433 上海市杨浦区邯郸路220号
156,410114 湖南省长沙市雨花区万家丽南路二段960号
157,230009 安徽省合肥市包河区屯溪路193号
158,541004 广西壮族自治区桂林市育才路15号
159,232001 安徽省淮南市田家庵区舜耕中路168号安徽理工大学化学工程学院
160,430070 湖北省武汉市洪山区珞狮路122号
161,200444 上海市宝山区上大路99号
162,200092 上海市杨浦区四平路1239号
163,214122 江苏省无锡市蠡湖大道1800号
164,230000 安徽省合肥市屯溪路193号
165,510640 广东省广州市天河区五山路381号
166,201620 上海市松江区龙腾路333号
167,200433 上海市杨浦区邯郸路220号
168,210094 江苏省南京市孝陵卫200号
169,400044 重庆市沙坪坝区沙正街174号重庆大学材料学院
170,215001 江苏省苏州市相城区元和街道御窑路1165号康桥溪岸5-2101
171,215100 江苏省苏州市吴中区木渎镇珠江南路378号天隆大楼6727室苏州卓伟企业管理咨询有限公司
172,200050 上海市长宁区长宁路865号
173,330031 江西省南昌市红谷滩新区学府大道999号
174,200444 上海市宝山区上大路99号
175,200050 上海市长宁区长宁路865号
176,211189 江苏省南京市江宁区东南大学路2号
177,311113 浙江省杭州市余杭区良渚街道大陆七贤桥村海虹新材料科技园
178,200237 上海市徐汇区梅陇路130号
179,030051 山西省太原市尖草坪区学院路3号
180,214122 江苏省无锡市滨湖区蠡湖大道1800号
181,116001 辽宁省大连市中山区人民路39号
182,214122 江苏省无锡市滨湖区蠡湖大道1800号
183,212013 江苏省镇江市京口区学府路301号
184,201620 上海市松江区人民北路2999号
185,410073 湖南省长沙市开福区德雅路109号
186,330063 江西省南昌市丰和南大道696号
187,410114 湖南省长沙市雨花区万家丽南路二段960号
188,212013 江苏省镇江市京口区学府路301号
189,330000 江西省南昌市丰和南大道696号
190,315201 浙江省宁波市镇海区中官西路1219号
191,266590 山东省青岛市黄岛区前湾港路579号
192,214122 江苏省无锡市滨湖区蠡湖大道1800号江南大学化学与材料工程学院
193,518055 广东省深圳市南山区留仙大道1183号南山云谷3栋7楼A5
194,213000 江苏省常州市新北区高新科技园创新科技楼北区409
195,277000 山东省枣庄市中区文化东路40号
196,313100 浙江省湖州市长兴县煤山工业园
197,271000 山东省泰安市经济开发区
198,200237 上海市徐汇区梅陇路130号
199,264005 山东省烟台市莱山区清泉路32号
200,312400 浙江省绍兴市嵊州市三界镇姚岙村
201,312400 浙江省绍兴市嵊州市三界镇姚岙村
202,610599 四川省成都市新都区新都大道8号
203,710072 陕西省西安市友谊西路127号
204,100029 北京市朝阳区北三环东路15号
205,241000 安徽省芜湖市鸠江区北京中路8号
206,310027 浙江省杭州市西湖区浙大路38号
207,510006 广东省广州市番禺区广州大学城外环西路100号
208,250022 山东省济南市济微路106号
209,710065 陕西省西安市电子二路东段18号
210,524088 广东省湛江市麻章区湖光岩东海大路1号广东海洋大学食品科技学院A419办公室
211,210094 江苏省南京市孝陵卫200号
212,075000 河北省张家口市桥东区林园路1号空军大院
213,075000 河北省张家口市桥东区林园路1号空军大院
214,212013 江苏省镇江市京口区学府路301号
215,100081 北京市海淀区中关村南大街5号
216,110819 辽宁省沈阳市和平区文化路3号巷11号
217,213000 江苏省常州市武进区经济开发区祥云路6号
218,201815 上海市嘉定区新和路489号1幢二层C区
219,100095 北京市海淀区温泉镇环山村
220,214122 江苏省无锡市滨湖区蠡湖大道1800号纺织服装学院
221,200444 上海市宝山区上大路99号
222,200444 上海市宝山区上大路99号
223,524048 广东省湛江市赤坎区寸金路29号
224,116024 辽宁省大连市甘井子区凌工路2号
225,116024 辽宁省大连市甘井子区凌工路2号
226,611731 四川省成都市高新区(西区)西源大道2006号
227,150001 黑龙江省哈尔滨市南岗区西大直街92号
228,450001 河南省郑州市高新技术开发区西四环228号企业公园12号楼803室
229,200433 上海市杨浦区邯郸路220号
230,201199 上海市闵行区新源路1356弄1-7号汇力得产业园C307室
231,510006 广东省广州市番禺区广州大学城华南理工大学
232,518000 广东省深圳市龙华新区大浪街道同胜社区华荣路龙富工业区3栋厂房1-3层
233,650093 云南省昆明市五华区学府路253号
234,313100 浙江省湖州市长兴县煤山工业园
235,300072 天津市南开区卫津路92号
236,510275 广东省广州市新港西路135号
237,215151 江苏省苏州市高新区浒关浒杨路88号
238,214242 江苏省宜兴市西郊工业园振丰东路999号
239,523000 广东省东莞市常平镇南埔科技创新中心B栋三层
240,200433 上海市杨浦区邯郸路220号
241,610500 四川省成都市新都区新都大道8号
242,210094 江苏省南京市孝陵卫200号
243,200235 上海市徐汇区漕宝路120号
244,116024 辽宁省大连市高新园区凌工路2号
245,710000 陕西省西安市高新区锦业路69号C区1号瞪羚谷F栋501室
246,411105 湖南省湘潭市西郊羊牯塘
247,518060 广东省深圳市南山区蛇口荣村工业区D栋伟百富大厦2楼231室
248,130012 吉林省长春市前进大街2699号
249,524048 广东省湛江市赤坎区寸金路29号
250,226300 江苏省南通市高新区盛鑫置业2楼
251,200240 上海市闵行区东川路800号
252,213164 江苏省常州市武进区ﾜ韬ﾷ1号
253,400714 重庆市北碚区方正大道266号
254,213164 江苏省常州市罗溪镇空港产业园旺财路10号
255,215151 江苏省苏州市高新区浒关浒杨路88号
256,410073 湖南省长沙市开福区德雅路109号
257,541004 广西壮族自治区桂林市金鸡路1号
258,100190 北京市海淀区中关村北一条11号
259,200240 上海市闵行区东川路800号
260,200444 上海市宝山区上大路99号
261,710064 陕西省西安市雁塔区二环南路中段126号
262,102209 北京市昌平区北七家镇未来科技城华能创新基地实验楼A楼
263,215137 江苏省苏州市相城区济学路8号
264,212013 江苏省镇江市京口区学府路301号
265,213000 江苏省常州市武进区经济开发区祥云路6号
266,450001 河南省郑州市高新技术开发区科学大道100号
267,100084 北京市海淀区北京市100084信箱82分箱清华大学专利办公室
268,100084 北京市海淀区清华园北京100084-82信箱
269,日本神奈川县
270,200050 上海市长宁区长宁路865号
271,韩国首尔
272,310018 浙江省杭州市下沙高教园区学正街18号
273,214122 江苏省无锡市滨湖区蠡湖大道1800号江南大学化学与材料工程学院
274,215000 江苏省苏州市工业园区独墅湖高教区若水路398号
275,美国密歇根州
276,101100 北京市通州区通胡大街78号京贸中心2502室
277,200433 上海市杨浦区邯郸路220号
278,330013 江西省南昌市昌北经济技术开发区庐山中大道江西财经大学教工宿舍18栋3-601
279,611731 四川省成都市高新区(西区)西源大道2006号
280,430068 湖北省武汉市洪山区南李路28号
281,210000 江苏省南京市麒麟科技创新园(生态科技城)东麒路666号1号楼
282,300387 天津市西青区宾水西道393号
283,214100 江苏省无锡市江海西路金山北科技园29-30号
284,214100 江苏省无锡市江海西路金山北科技园29-30号
285,214100 江苏省无锡市江海西路金山北科技园29-30号
286,214100 江苏省无锡市江海西路金山北科技园29-30号
287,214100 江苏省无锡市江海西路金山北科技园29-30号
288,610065 四川省成都市武侯区一环路南一段24号
289,110142 辽宁省沈阳市经济技术开发区11号
290,511458 广东省广州市南沙区环市大道南路25号华工大广州产研院
291,150081 黑龙江省哈尔滨市南岗区哈平路138号
292,215100 江苏省苏州市吴中区木渎镇珠江南路378号天隆大楼6727室苏州卓伟企业管理咨询有限公司
293,200092 上海市杨浦区四平路1239号
294,250022 山东省济南市市中区南辛庄西路336号
295,116001 辽宁省大连市中山区人民路39号
296,510640 广东省广州市天河区五山路381号
297,150080 黑龙江省哈尔滨市南岗区学府路74号黑龙江大学
298,210000 江苏省南京市鼓楼区西康路1号
299,400044 重庆市沙坪坝区沙正街174号
300,330063 江西省南昌市丰和南大道696号
301,100095 北京市海淀区北京81信箱
302,100095 北京市海淀区北京81信箱
303,100095 北京市海淀区北京81信箱
304,100084 北京市海淀区清华园1号
305,515500 广东省揭阳市揭东经济开发区5号路中段
306,430081 湖北省武汉市青山区建设一路
307,211816 江苏省南京市浦口区浦珠南路30号
308,200050 上海市长宁区荣华东道128号1704室
309,200050 上海市长宁区荣华东道128号1704室
310,150001 黑龙江省哈尔滨市南岗区西大直街92号
311,430068 湖北省武汉市洪山区南李路28号
312,311121 浙江省杭州市金星二路美伦科技园综合楼306
313,312400 浙江省绍兴市嵊州市三界镇姚岙村
314,110142 辽宁省沈阳市经济技术开发区11号
315,230009 安徽省合肥市包河区屯溪路193号
316,330063 江西省南昌市丰和南大道696号
317,212003 江苏省镇江市丹徒区高资镇石马集镇
318,212003 江苏省镇江市丹徒区高资镇石马集镇
319,213164 江苏省常州市武进区ﾜ韬ﾷ1号
320,063000 河北省唐山市曹妃甸区曹妃甸工业区民族路15号
321,211106 江苏省南京市江宁经济技术开发区胜太路58号
322,430062 湖北省武汉市武昌区友谊大道368号
323,315201 浙江省宁波市镇海区庄市大道519号
324,610000 四川省成都市武侯区龙门巷6号1栋2单元12号
325,610000 四川省成都市武侯区龙门巷6号1栋2单元12号
326,610000 四川省成都市武侯区龙门巷6号1栋2单元12号
327,610000 四川省成都市武侯区龙门巷6号1栋2单元12号
328,610000 四川省成都市武侯区龙门巷6号1栋2单元12号
329,610000 四川省成都市武侯区龙门巷6号1栋2单元12号
330,150080 黑龙江省哈尔滨市南岗区学府路7号
331,200444 上海市宝山区上大路99号
332,250061 山东省济南市历下区经十路17923号
333,250022 山东省济南市济微路106号
334,310008 浙江省杭州市西湖区梅灵南路9号
335,300072 天津市南开区卫津路92号
336,710100 陕西省西安市长安区西街150号
337,231200 安徽省合肥市肥西县山南镇杨桃东路3公里处
338,450052 河南省郑州市二七区桃园南街3号院2号楼14号
339,233600 安徽省亳州市涡阳县城关镇涡河东路115-136号
340,214100 江苏省无锡市江海西路金山北科技园29-30号
341,100084 北京市海淀区100084信箱82分箱清华大学专利办公室
342,100084 北京市海淀区100084信箱82分箱清华大学专利办公室
343,611430 四川省成都市新津工业园区新材料产业功能区新材28路
344,200062 上海市普陀区中山北路3663号
345,361005 福建省厦门市思明南路422号
346,214000 江苏省无锡市惠山经济开发区堰新路311号1号楼1001室
347,264404 山东省威海市文登区泽库镇泽库村
348,432000 湖北省孝感市北京路特6号
349,313100 浙江省湖州市长兴县煤山工业园
350,272000 山东省济宁市崇文大道产学研基地A5楼
351,230000 安徽省合肥市新站区瑶海工业园纬D路7号
352,518060 广东省深圳市南山区蛇口荣村工业区D栋伟百富大厦2楼231室
353,201620 上海市松江区松江新城人民北路2999号
354,130012 吉林省长春市延安大街2055号
355,210093 江苏省南京市汉口路22号
356,200240 上海市闵行区剑川路953弄322号一楼
357,212405 江苏省镇江市句容市边城镇仑山湖南路3号江苏新光环保工程有限公司
358,451191 河南省郑州市新郑双湖经济技术开发区淮河路1号
359,518060 广东省深圳市南山区南海大道3688号
360,315400 浙江省宁波市余姚市泗门镇泗北村(惠康路1号)
361,266061 山东省青岛市崂山区松岭路99号
362,211100 江苏省南京市江宁区秣陵街道祖堂社区
363,518000 广东省深圳市福田区莲花北村6栋2单元603
364,528100 广东省佛山市三水工业园区C区69号
365,200240 上海市闵行区东川路800号
366,215000 江苏省苏州市工业园区星湖街218号生物纳米园A4楼112室
367,618000 四川省德阳市旌阳区岷江西路二段57号1幢
368,211167 江苏省南京市江宁科学园弘景大道1号
369,200235 上海市徐汇区漕宝路120号
370,451191 河南省郑州市新郑双湖经济技术开发区淮河路1号
371,450001 河南省郑州市高新技术开发区科学大道1号
372,213022 江苏省常州市新北区河海中路85号
373,400042 重庆市渝中区大坪长江支路10号
374,364000 福建省龙岩市龙岩经济技术开发区曲潭路15号科技创业园创业楼211室
375,100102 北京市朝阳区望京科技创业园E座513A
376,美国伊利诺斯州
377,200050 上海市长宁区长宁路865号
378,266000 山东省青岛市市北区山东路138号
379,266071 山东省青岛市市南区宁夏路308号
380,430070 湖北省武汉市洪山区珞狮路122号
381,730070 甘肃省兰州市安宁区安宁东路967号
382,510006 广东省广州市番禺区大学城外环东路132号
383,100081 北京市海淀区中关村南大街5号
384,215000 江苏省苏州市高新区国际教育园北区学府路287号
385,037009 山西省大同市御东新区兴云街山西大同大学
386,日本东京都
387,310003 浙江省杭州市西湖区西溪路525号C楼715室
388,211189 江苏省南京市江宁区东南大学路2号
389,037009 山西省大同市御河桥东
390,518107 广东省深圳市光明新区观光路3009号招商局光明科技园A3栋C单元501
391,214122 江苏省无锡市蠡湖大道1800号
392,523583 广东省东莞市常平镇袁山贝兴利工业区
393,215000 江苏省苏州市相城区元和街道御窑路与安元路交汇处康桥溪岸花园5幢2101
394,215000 江苏省苏州市相城区元和街道御窑路与安元路交汇处康桥溪岸花园5幢2101
395,315201 浙江省宁波市镇海区中官西路1219号
396,350108 福建省福州市闽侯县上街镇大学城学园路2号福州大学新区
397,212013 江苏省镇江市京口区学府路301号
398,200240 上海市闵行区东川路800号
399,212013 江苏省镇江市京口区学府路301号
400,330063 江西省南昌市丰和南大道696号
401,213331 江苏省常州市溧阳市戴埠工业园区嘉新路1号
402,215400 江苏省苏州市太仓市太仓港港口协鑫西路12号
403,200241 上海市闵行区紫竹高新区紫日路500号
404,518000 广东省深圳市南山区南海大道海王大厦A座22层
405,212400 江苏省镇江市句容市开发区富达创业园01栋镇江华域环保设备制造有限公司
406,410000 湖南省长沙市芙蓉区八一路418号
407,225009 江苏省扬州市大学南路88号
408,201620 上海市松江区松江新城人民北路2999号
409,518060 广东省深圳市南山区南海大道3688号
410,215000 江苏省苏州市苏州高新区泰山路2号
411,541004 广西壮族自治区桂林市七星区横塘路55号
412,314500 浙江省嘉兴市桐乡市经济开发区文华南路669号
413,810008 青海省西宁市新宁路18号
414,030001 山西省太原市迎泽区桃园南路27号
415,310013 浙江省杭州市西湖区西溪路525号C楼715室
416,200240 上海市闵行区东川路800号
417,310013 浙江省杭州市西湖区西溪路525号C楼715室
418,215000 江苏省苏州市高新区华枫路121号
419,215000 江苏省苏州市相城区元和街道御窑路与安元路交汇处康桥溪岸花园5幢2101
420,610065 四川省成都市武侯区一环路南一段24号
421,210016 江苏省南京市秦淮区御道街29号
422,530004 广西壮族自治区南宁市西乡塘区大学路100号
423,530001 广西壮族自治区南宁市明秀东路175号广西师范学院
424,530001 广西壮族自治区南宁市明秀东路175号广西师范学院
425,530001 广西壮族自治区南宁市明秀东路175号广西师范学院
426,361005 福建省厦门市思明南路422号
427,402160 重庆市永川区红河大道319号
428,200235 上海市徐汇区漕宝路120号
429,730000 甘肃省兰州市安宁区安宁东路967号
430,102600 北京市大兴区北兴路东段22号
431,266071 山东省青岛市南海路7号
432,411105 湖南省湘潭市雨湖区羊牯塘27号
433,200240 上海市闵行区东川路800号
434,212013 江苏省镇江市京口区学府路301号
435,250101 山东省济南市高新开发区工业南路44号丁豪广场6号楼2单元2409山东奥美环境股份有限公司
436,410000 湖南省长沙市韶山南路498号
437,063000 河北省唐山市建设北路101号高科总部大厦1001室
438,210016 江苏省南京市秦淮区御道街29号
439,210000 江苏省南京市新港经济技术开发区恒达路3号
440,211816 江苏省南京市浦口区浦珠南路30号
441,310027 浙江省杭州市西湖区玉古路38号
442,211816 江苏省南京市浦口区浦珠南路30号
443,300072 天津市南开区卫津路92号
444,210000 江苏省南京市新港经济技术开发区恒达路3号
445,210000 江苏省南京市新港经济技术开发区恒达路3号
446,210000 江苏省南京市新港经济技术开发区恒达路3号
447,210000 江苏省南京市新港经济技术开发区恒达路3号
448,210000 江苏省南京市新港经济技术开发区恒达路3号
449,212000 江苏省镇江新区青龙山路113号
450,710021 陕西省西安市未央区大学园1号
451,150001 黑龙江省哈尔滨市南岗区西大直街92号
452,214122 江苏省无锡市蠡湖大道1800号
453,030024 山西省太原市万柏林区迎泽西大街79号
454,710054 陕西省西安市雁塔路58号
455,450052 河南省郑州市二七区桃园南街3号院2号楼14号
456,250103 山东省济南市历城区经十东路30766号力诺科技园
457,518000 广东省深圳市宝安区石岩街道塘头社区塘头工业园恒通发工业区厂房4栋2、4、5楼；南岗第三工业园第15栋厂房5楼
458,518000 广东省深圳市宝安区石岩街道塘头社区塘头工业园恒通发工业区厂房4栋2、4、5楼南岗第三工业园第15栋厂房5楼
459,100124 北京市朝阳区平乐园100号
460,100083 北京市海淀区清华东路甲35号
461,100083 北京市海淀区清华东路甲35号
462,510006 广东省广州市番禺区大学城外环西路230号
463,100081 北京市海淀区中关村南大街5号
464,201620 上海市松江区松江新城人民北路2999号
465,201203 上海市浦东新区上海市张江高科技园区芳春路400号1幢3层301-442室
466,210046 江苏省南京市栖霞区仙林大学城文澜路99号南京信息职业技术学院微电子分院
467,430070 湖北省武汉市洪山区珞狮路122号
468,100084 北京市海淀区北京市100084-82信箱
469,363000 福建省漳州市县前直街36号
470,214122 江苏省无锡市滨湖区蠡湖大道1800号
471,英国曼彻斯特市
472,130012 吉林省长春市延安大街2055号
473,266100 山东省青岛市崂山区苗岭路19号裕龙大厦2号楼1单元1702户
474,300387 天津市西青区宾水西道393号
475,200241 上海市闵行区江川东路28号
476,537000 广西壮族自治区玉林市玉州区玉州路147号
477,213164 江苏省常州市武进区常武中路18号常州科教城520大道北京化工大学常州先进材料研究院A211
478,518107 广东省深圳市光明新区观光路3009号招商局光明科技园A3栋C单元501
479,100081 北京市海淀区中关村南大街5号
480,266003 山东省青岛市市南区鱼山路5号中国海洋大学
481,100095 北京市海淀区81信箱
482,250204 山东省济南市章丘市刁镇工业经济开发区
483,250022 山东省济南市济微路106号
484,200444 上海市宝山区上大路99号
485,310014 浙江省杭州市下城区潮王路18号
486,710119 陕西省西安市高新区新型工业园西部大道60号中国科学院西安光学精密机械研究所新能源研究中心
487,100190 北京市海淀区中关村东路29号
488,310003 浙江省杭州市西湖区西溪路525号C楼715室
489,300071 天津市南开区卫津路94号
490,315000 浙江省宁波市慈溪慈东滨海区天叙璐1号
491,350108 福建省福州市闽侯县上街镇大学城学园路2号福州大学新区
492,215001 江苏省苏州高新区泰山路2号
493,110159 辽宁省沈阳市浑南新区南屏中路6号
494,150006 黑龙江省哈尔滨市南岗区西大直街92号格物楼900室
495,530001 广西壮族自治区南宁市明秀东路175号广西师范学院
496,250014 山东省济南市历下区科院路19号
497,244000 安徽省铜陵市东市开发区
498,213106 江苏省常州市武进区遥观镇建农村
499,244000 安徽省铜陵市东市开发区
0,100195 北京市海淀区四季青路8号常青园0207号
1,430070 湖北省武汉市洪山区珞狮路122号
2,454003 河南省焦作市人民大道东段3066号
3,韩国京畿道
4,362801 福建省泉州市泉港区前黄镇普安工业区孵化基地大楼
5,710072 陕西省西安市友谊西路127号
6,100000 北京市海淀区颐和园路5号
7,610041 四川省成都市高新区天府大道北段1700号1栋2单元13层1304号
8,610041 四川省成都市高新区天府大道北段1700号1栋2单元13层1304号
9,610041 四川省成都市高新区天府大道北段1700号1栋2单元13层1304号
10,610041 四川省成都市高新区天府大道北段1700号1栋2单元13层1304号
11,610041 四川省成都市高新区天府大道北段1700号1栋2单元13层1304号
12,215125 江苏省苏州市工业园区独墅湖高教区若水路398号
13,100190 北京市海淀区中关村北一条11号
14,100190 北京市海淀区中关村南三街八号
15,200050 上海市长宁区长宁路865号
16,韩国首尔
17,201210 上海市浦东新区海科路99号
18,315201 浙江省宁波市镇海区庄市大道519号
19,266000 山东省青岛市崂山区松岭路99号
20,300384 天津市西青区海泰工业园区(环外)华科七路六号
21,150000 黑龙江省哈尔滨市南岗区学府路74号
22,361024 福建省厦门市集美区集美大道1300号创新大厦1714室
23,450001 河南省郑州市高新技术开发区科学大道100号
24,330031 江西省南昌市红谷滩新区学府大道999号
25,德国路德维希港
26,414006 湖南省岳阳市岳阳楼区学院路439号
27,200092 上海市杨浦区四平路1239号
28,310027 浙江省杭州市西湖区浙大路38号
29,310027 浙江省杭州市西湖区浙大路38号
30,315201 浙江省宁波市镇海区中官西路1219号
31,200235 上海市徐汇区漕宝路120号
32,315201 浙江省宁波市镇海区中官西路1219号
33,314000 浙江省嘉兴市南湖区亚太路778号(嘉兴科技城)9号楼1层北
34,266071 山东省青岛市宁夏路308号
35,610041 四川省成都市高新区天府大道北段1700号1栋2单元13层1304号
36,621700 四川省绵阳市江油市华丰新村9号
37,401329 重庆市九龙坡区凤笙路15号附3号
